SampleID,Prevotella,Achromobacter,Acidovorax,Acinetobacter,Aeromonas,Alishewanella,Alloiococcus,Anaerobacillus,Anaerococcus,Anoxybacillus,Arthrobacter,Azospirillum,Bacillus,Bacteroides,Blastomonas,Blautia,Brachybacterium,Bradyrhizobium,Brevundimonas,Candidatus Nitrososphaera,Cellvibrio,Cloacibacterium,Clostridium,Comamonas,Coprococcus,Corynebacterium,Cytophaga,DA101,Dietzia,Elizabethkingia,Enhydrobacter,Enterobacter,Enterococcus,Erysipelothrix,Flavobacterium,Fusobacterium,Gardnerella,Georgenia,Halomonas,Herbaspirillum,Janthinobacterium,Kocuria,Lactobacillus,Massilia,Mesorhizobium,Microbacterium,Micrococcus,Mycobacterium,Novosphingobium,Odoribacter,Oscillospira,Paenibacillus,Parabacteroides,Paracoccus,Pedobacter,Phenylobacterium,Porphyromonas,Prevotella,Cutibacterium,Pseudochrobactrum,Pseudomonas,Rhodoplanes,Roseburia,Rothia,Ruminococcus,Sediminibacterium,Sphingobium,Staphylococcus,Stenotrophomonas,Streptococcus,Streptomyces,Turicibacter,Xanthomonas
LKMB005_037,0,0,0,0,0,0,0,0,0,0.020893701,0,0,0.062986122,0,0,0,0,0,0.017843526,0,0,0.003202684,0,0.003965228,0,0.009608052,0,0.009150526,0.007167912,0,0,0,0,0,0,0,0,0,0.010370596,0.00625286,0.105688577,0,0.016470947,0,0,0,0,0.004422754,0,0,0,0,0,0.012200702,0,0,0,0,0,0,0.649534848,0,0,0,0,0.017996035,0,0.00625286,0.035229526,0,0,0,0
LKMB005_038,0,0,0,0.012571429,0,0,0,0,0,0,0,0,0.082285714,0,0,0,0,0,0.008380952,0,0,0,0,0,0,0.011047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108952381,0,0.00952381,0,0,0,0,0,0,0,0.018285714,0,0,0,0.031238095,0,0.003428571,0,0,0,0.644571429,0,0,0,0,0.016761905,0.004571429,0.013333333,0.020190476,0.014857143,0,0,0
LKMB005_039,0,0,0,0.059602649,0,0,0,0,0,0,0,0,0.065206317,0.005603668,0,0,0,0,0.01171676,0,0,0,0,0,0,0.01757514,0,0.018084564,0,0,0,0,0,0,0.002801834,0,0,0,0,0,0.020376974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006622517,0,0,0,0.698675497,0.009679063,0,0,0,0,0.001273561,0.055527254,0.027254203,0,0,0,0
LKMB005_040,0,0,0,0.049104385,0,0,0,0.009882644,0,0,0,0,0.08863496,0,0,0,0,0,0.018529957,0,0,0,0,0.005250154,0.017294626,0.015441631,0,0,0,0,0,0,0,0.009573811,0,0,0,0,0,0,0.094193947,0.00586782,0,0,0.006794317,0,0.004632489,0,0,0,0,0,0,0,0.008029648,0,0,0,0.00123533,0,0.608400247,0,0,0,0,0.004014824,0.004941322,0.00586782,0.042310068,0,0,0,0
LKMB005_041,0.001742696,0,0,0.029933368,0,0,0,0,0,0,0,0,0.103946694,0,0,0,0,0.010661199,0.014966684,0,0,0,0,0.009123526,0,0.013326499,0.010763711,0,0,0,0,0,0,0,0.006765761,0,0,0,0.013634034,0,0.064377242,0,0,0,0,0,0.004920554,0,0.013223988,0,0,0,0,0,0,0,0,0,0.005740646,0,0.602050231,0,0.055458739,0,0,0.005535623,0,0.025525372,0.008303434,0,0,0,0
LKMB005_042,0,0.016113901,0,0.005739198,0,0,0,0,0,0,0,0,0.04469952,0,0,0,0,0,0.032172617,0,0.00877435,0,0,0.022625683,0,0.024612328,0.005794382,0,0,0,0,0,0,0,0,0,0.001931461,0,0,0.007118812,0.236079687,0,0,0,0,0,0.003586999,0,0,0,0,0.007781028,0,0,0.024888251,0,0,0,0.002317753,0,0.475525633,0,0,0,0,0.008608796,0,0.011092103,0.057723084,0.001379615,0,0,0
LKMB005_043,0,0.010371855,0,0.012316577,0,0,0,0,0,0,0,0,0.037597973,0,0,0,0,0.002239378,0.027049325,0,0.001414344,0,0,0.034887147,0.001060758,0.002121516,0,0,0,0.002180447,0,0,0,0.001060758,0,0,0,0,0,0.005126996,0.302728505,0,0.008014615,0,0,0,0,0,0,0,0,0,0,0,0.05940244,0,0,0.001414344,0,0.014909541,0.397371678,0,0,0,0,0.007837822,0,0,0.055159408,0.013613059,0,0,0.001591137
LKMB005_060,0,0.001416642,0.002162243,0.02363555,0,0,0.001118401,0,0,0,0,0,0.055696391,0,0,0.011482255,0,0,0.004920966,0,0,0,0.005666567,0.028780197,0,0.003653445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137637936,0,0,0,0,0,0,0,0,0,0.010960334,0,0,0,0.027214435,0,0,0.003280644,0,0,0.607515658,0,0,0,0,0.007157769,0,0,0.03116612,0.030718759,0,0.005219207,0
LKMB005_061,0,0,0,0.013762511,0,0,0,0,0,0,0.007051865,0,0.062215651,0,0,0,0,0.0094404,0,0,0.003639672,0,0,0.0194495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001819836,0.003980892,0.1633303,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013080073,0,0,0,0,0,0.645359418,0,0,0,0,0,0,0,0.027070064,0.029799818,0,0,0
LKMB005_062,0.00661746,0,0,0.011792653,0,0,0,0,0,0,0,0,0.030033087,0.002375498,0,0,0.002799695,0,0.001442267,0,0.003732926,0,0,0.003987444,0.016713328,0.017561721,0,0,0,0,0,0.00220582,0,0,0,0.007211335,0,0.005599389,0,0,0.027912107,0,0.056418088,0,0,0,0,0,0,0.001272588,0.004666158,0,0,0,0.009756511,0,0,0.003223891,0,0,0.409349283,0,0,0.257826419,0,0.001272588,0,0.010859421,0.001866463,0.080597268,0,0.022906592,0
