SampleID,Acinetobacter,Actinomyces,Aerococcus,Aeromonas,Aggregatibacter,Alloiococcus,Anaerobacillus,Anaerococcus,Anoxybacillus,Aquabacterium,Bacillus,Bacteroides,Bifidobacterium,Blautia,Brachybacterium,Brevundimonas,Burkholderia,Carnobacterium,Cellvibrio,Cloacibacterium,Clostridium,Corynebacterium,Cytophaga,Dialister,Enhydrobacter,Enterococcus,Faecalibacterium,Flavobacterium,Fusobacterium,Gardnerella,Gemella,Haemophilus,Halomonas,Janthinobacterium,Kocuria,Lactobacillus,Lactococcus,Leptotrichia,Massilia,Megasphaera,Microbacterium,Micrococcus,Moraxella,Mycobacterium,N09,Neisseria,Nocardioides,Novosphingobium,Paenibacillus,Paracoccus,Porphyromonas,Prevotella,Pseudomonas,Pseudonocardia,Sediminibacterium,Skermanella,Sphingobacterium,Sphingobium,Staphylococcus,Stenotrophomonas,Streptococcus,Streptomyces,Thermicanus,Veillonella,WAL_1855D,Cutibacterium,Ruminococcus
LK16S004-320,0.55264993,0.010460251,0,0,0,0.027196653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068688982,0,0,0,0,0,0.008716876,0,0,0,0,0,0,0,0,0,0,0,0,0.00488145,0,0.028940028,0.004532775,0,0,0,0,0,0.019525802,0,0,0.120990237,0,0,0,0,0,0.017782427,0.037308229,0.063807531,0.006276151,0,0,0,0.028242678,0
LK16S004-321,0.508571429,0,0,0,0,0,0,0,0,0,0,0,0.100816327,0,0,0,0.034693878,0,0.00244898,0,0,0.012653061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056734694,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0.015918367,0,0,0.085714286,0,0,0,0.00244898,0
LK16S004-322,0.086956522,0,0,0,0,0,0.016338104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011477181,0,0,0,0,0,0,0,0,0.00715636,0,0,0,0,0,0,0,0,0,0.24115582,0.006481231,0,0.013232514,0,0,0,0,0.014177694,0.002835539,0,0.05873616,0,0,0,0,0,0.517958412,0.001350257,0.017283284,0.004860924,0,0,0,0,0
LK16S004-323,0.374777184,0,0,0,0,0,0,0,0,0,0.020499109,0,0,0,0,0,0.046345811,0,0,0,0,0.011586453,0,0,0,0,0,0.029857398,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02540107,0,0,0,0,0,0,0,0,0,0,0.125668449,0,0,0,0.018716578,0,0.045008913,0.193404635,0,0.001336898,0,0.091800357,0,0.015597148,0
LK16S004-324,0.627002288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09610984,0,0,0.215102975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009153318,0
LK16S004-325,0.336239103,0,0,0,0,0,0,0,0,0,0,0.068493151,0,0,0,0,0,0,0,0,0,0,0,0,0.01867995,0.074719801,0,0,0,0,0,0,0,0,0.02739726,0,0,0,0.083437111,0,0,0.02615193,0,0,0,0,0,0,0,0,0,0,0.215442092,0,0,0,0,0,0,0.092154421,0,0,0,0,0,0.057285181,0
LK16S004-326,0.433192686,0,0,0,0,0,0.224331927,0,0,0,0,0,0,0,0.007032349,0,0,0,0,0,0,0.058368495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118846695,0,0,0,0,0,0,0,0,0,0,0,0,0.073839662,0,0,0,0,0.071026723,0,0,0,0,0,0,0,0,0.013361463,0
LK16S004-327,0.62489221,0,0,0,0,0,0,0,0,0.016671457,0,0.020120724,0,0,0,0,0.037079621,0,0,0,0,0,0,0,0,0,0.041103765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004599023,0.025582064,0,0.027019258,0.012359874,0,0,0,0,0,0,0.052888761,0,0,0,0,0,0.108651911,0,0,0.024719747,0,0,0,0.004311584,0
LK16S004-328,0.642250788,0,0,0,0,0,0.018675722,0.005093379,0.032500606,0,0,0,0,0,0,0,0,0,0,0,0,0.01576522,0,0,0.019888431,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027407228,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142372059,0,0,0,0.021343682,0,0.02643706,0,0,0.010186757,0,0,0,0.038079069,0
LK16S004-329,0.455972696,0,0,0,0,0.013651877,0,0,0,0,0,0.06894198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02662116,0,0,0,0,0,0,0,0,0.013651877,0,0,0,0,0,0,0,0,0,0,0.154266212,0,0,0,0.039590444,0,0.070989761,0,0.073037543,0.066211604,0,0,0,0.017064846,0
LK16S004-330,0.283200996,0,0,0,0,0,0,0,0,0,0,0.020706835,0,0,0,0,0,0,0.002491048,0.563132493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039078312,0,0,0,0,0,0,0.024287716,0,0,0,0,0,0,0,0,0,0.037054336,0,0,0,0,0,0,0,0,0.021485287,0,0,0,0.001401214,0.007161762
LK16S004-331,0.156639911,0,0,0,0.060001589,0,0.047365493,0,0.009616149,0,0.019152825,0,0,0,0,0,0,0,0,0,0,0.265040134,0,0,0,0,0,0,0,0,0.061432091,0,0,0.020503854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121831042,0.027974251,0.02654375,0,0,0,0,0,0.158547246,0,0,0,0,0,0,0.025351665,0
LK16S004-332,0.147103892,0,0,0,0.440392277,0,0.01379099,0,0,0,0,0.014097456,0.011952191,0,0,0.006435795,0.003984064,0,0,0.006129329,0,0.005822862,0,0,0,0,0,0,0,0,0.186331597,0,0.003984064,0,0,0,0,0,0,0,0.006129329,0,0,0,0,0,0,0,0,0,0.068954949,0.006435795,0.010726325,0,0,0,0.006742262,0,0.01808152,0.00950046,0,0.012871591,0,0,0,0.020533252,0
LK16S004-333,0.613972235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017017465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007165249,0,0,0,0,0,0,0,0,0,0,0.045230631,0,0,0,0,0,0,0,0,0.047021944,0,0,0,0,0.05463502,0.092700403,0.048813256,0.031347962,0.008060905,0,0,0,0.034034931,0
LK16S004-334,0.443045564,0.010191847,0,0,0,0,0.035971223,0,0,0,0,0,0,0,0,0,0,0,0.012889688,0,0,0.063848921,0,0,0,0,0,0,0,0,0,0,0,0,0.035671463,0,0,0,0,0,0,0.07853717,0,0.023381295,0,0,0,0,0,0.072541966,0,0,0.049460432,0,0,0,0,0,0.029076739,0,0.012889688,0.055455635,0,0,0,0.077038369,0
LK16S004-335,0.429411765,0,0.007692308,0,0,0,0,0.044343891,0.003167421,0,0,0,0,0,0,0,0,0,0,0,0,0.135746606,0,0,0,0.009049774,0,0,0,0,0,0,0.046606335,0,0,0,0,0,0.070135747,0,0,0,0,0,0,0,0,0,0.021266968,0,0,0,0.174660633,0,0,0,0,0,0,0,0,0.0239819,0,0,0,0.033936652,0
LK16S004-336,0.261090909,0,0,0,0,0,0.029272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060363636,0,0,0,0,0,0,0,0,0.021818182,0,0,0,0,0,0.074545455,0,0,0,0.023272727,0.023818182,0,0,0,0,0,0,0,0,0.060181818,0.125090909,0,0,0,0,0,0.076,0.058909091,0.123818182,0.035636364,0,0,0,0.026181818,0
LK16S004-337,0.025113388,0,0,0,0.60624895,0,0.049302873,0,0,0,0,0.08701495,0.010330926,0.014194524,0,0,0,0,0,0,0,0,0,0.014278515,0,0.018058122,0.03586427,0,0.013690576,0,0,0,0,0,0,0,0,0,0,0.017638166,0,0,0,0,0,0,0,0,0,0,0,0,0.037124139,0,0,0,0,0,0.045439274,0,0.004787502,0,0,0,0,0.003947589,0.016966236
LK16S004-338,0,0,0,0,0,0,0,0,0,0,0,0.188197767,0,0,0,0,0.11323764,0.16108453,0,0,0,0,0,0,0.108452951,0,0.114832536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229665072,0,0,0,0,0,0,0.022328549,0.062200957,0,0,0,0,0,0
LK16S004-339,0.31056701,0,0,0,0,0,0.100515464,0,0,0,0,0.047680412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079896907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304123711,0,0,0,0.036082474,0.096649485,0.024484536,0,0,0,0,0,0
LK16S004-340,0.32659409,0,0,0,0,0,0,0,0,0,0,0.041213064,0,0,0,0,0.036547434,0,0,0,0,0.148522551,0.039657854,0,0,0,0,0.072317263,0,0,0,0.013219285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181959565,0,0,0,0,0,0.124416796,0.0155521,0,0,0,0,0,0,0
LK16S004-341,0.266723477,0,0,0,0.0382048,0,0.013776452,0.012072149,0,0,0,0.013492402,0,0,0,0,0,0,0,0,0.010793921,0.086493396,0,0,0,0,0.013492402,0,0,0,0,0,0,0,0,0.053117455,0.056526062,0,0.028263031,0,0,0.014202528,0,0,0.008947593,0.005254935,0,0,0.015906831,0,0.006959239,0.02016759,0.049282772,0,0,0,0,0,0.084220991,0,0.07101264,0.013208351,0,0,0.01533873,0.078682005,0.023860247
LK16S004-342,0.178621761,0,0,0,0,0,0.002710223,0,0.007263398,0,0.005998627,0,0,0,0,0,0,0,0.002565678,0,0,0.044519929,0.009431576,0,0,0,0,0,0,0,0.601669497,0,0,0,0,0,0,0.002674087,0,0,0,0,0.002023633,0,0,0,0,0,0,0,0.004155675,0,0.012141799,0,0,0,0,0,0.016622701,0,0.108661873,0,0,0,0,0,0
