SampleID,Achromobacter,Acidithiobacillus,Acidovorax,Acinetobacter,Actinobacillus,Actinobaculum,Actinomyces,Actinomycetospora,Actinoplanes,Actinotalea,Aerococcus,Aeromonas,Afipia,Aggregatibacter,Agrobacterium,Agromyces,Akkermansia,Alistipes,Alkalibacterium,Alloiococcus,Anaerobacillus,Anaerococcus,Anaeroplasma,Anoxybacillus,Aquabacterium,Arthrobacter,Asticcacaulis,Atopobium,Azoarcus,Bacillus,Bacteroides,Balneimonas,Bifidobacterium,Bilophila,Blastococcus,Blautia,Brachybacterium,Brachymonas,Brevibacterium,Brevundimonas,Brochothrix,Burkholderia,Campylobacter,Candidatus Nitrososphaera,Candidatus Rhabdochlamydia,Capnocytophaga,Carnobacterium,Catonella,Cellvibrio,Chroococcidiopsis,Cloacibacterium,Clostridium,Collinsella,Comamonas,Coprococcus,Corynebacterium,Cryocola,Cupriavidus,Cystobacter,Cytophaga,DA101,Deinococcus,Dermabacter,Dermacoccus,Dialister,Dorea,Enhydrobacter,Enterococcus,Epulopiscium,Faecalibacterium,Filifactor,Finegoldia,Flavobacterium,Flexispira,Friedmanniella,Fusobacterium,Gardnerella,Gemella,Geodermatophilus,Granulicatella,Haemophilus,Halomonas,Hydrocarboniphaga,Hydrogenophaga,Hydrogenophilus,Hymenobacter,Janthinobacterium,Jeotgalicoccus,Kaistobacter,Kocuria,Kytococcus,Laceyella,Lactobacillus,Lactococcus,Leptotrichia,Leuconostoc,Lysobacter,Magnetospirillum,Marmoricola,Massilia,Megasphaera,Methyloversatilis,Microbacterium,Micrococcus,Mobiluncus,Moraxella,Morganella,Moryella,Mycobacterium,Mycoplana,N09,Neisseria,Nesterenkonia,Nitrospira,Nocardioides,Novosphingobium,Ochrobactrum,Oscillospira,Paenibacillus,Paludibacter,Paracoccus,Parvimonas,Pedomicrobium,Peptoniphilus,Petrobacter,ph2,Pilimelia,Planifilum,Planomicrobium,Porphyromonas,Prevotella,Propionibacterium,Propionicimonas,Proteiniclasticum,Proteus,Providencia,Pseudoclavibacter,Pseudomonas,Pseudonocardia,Pseudoxanthomonas,Psychrobacter,Quadrisphaera,Rheinheimera,Rhodobacter,Roseburia,Rothia,Rubellimicrobium,Rubricoccus,Rubrobacter,Saccharomonospora,Schlegelella,Sediminibacterium,Selenomonas,Serinicoccus,Shewanella,Skermanella,Solirubrobacter,Sphingobacterium,Sphingobium,Sphingopyxis,Spirosoma,Sporomusa,Staphylococcus,Stenotrophomonas,Streptococcus,Streptomyces,Succinivibrio,Sulfobacillus,Sulfuritalea,Sutterella,Tatlockia,Tessaracoccus,Thermicanus,Treponema,Truepera,Turicibacter,Uliginosibacterium,Vagococcus,Varibaculum,Veillonella,WAL_1855D,Wautersiella,Williamsia,Xanthobacter,Ruminococcus
LK16S004-317,0,0,0,0.052546917,0,0,0,0,0,0,0,0.001072386,0,0,0,0,0,0,0,0,0.01152815,0.01152815,0,0,0,0,0,0,0,0.036461126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015281501,0,0,0,0,0.119034853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010723861,0,0,0.028150134,0.02386059,0,0.01689008,0,0,0,0,0,0,0,0.038873995,0,0,0,0,0,0,0,0,0,0,0.029758713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044772118,0,0,0,0.004289544,0,0.232439678,0.003217158,0,0,0,0,0,0,0.017158177,0,0,0,0,0.012064343,0,0,0,0,0,0,0,0,0,0,0,0.117158177,0.017426273,0.022520107,0,0,0,0,0,0,0,0,0,0,0,0,0.133243968,0,0,0,0,0,0,0
LK16S004-318,0,0,0,0.415284062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004725993,0,0,0.003117144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032880845,0.015485168,0,0,0,0.081246858,0,0,0,0.005027652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0231272,0,0,0,0,0,0.007642031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00693816,0,0,0,0,0,0,0.009351433,0,0,0,0,0.011664153,0,0,0.015284062,0,0.005027652,0,0,0,0,0,0,0,0,0,0.019808949,0.00925088,0,0.003519356,0,0,0.012669683,0.127300151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006435395,0.02182001,0,0,0.011764706,0.058823529,0.066063348,0,0.012870789,0,0,0,0.007742584,0,0,0,0,0,0,0,0,0,0,0,0.005128205,0,0,0
LK16S004-319,0,0,0,0.49882523,0,0,0,0,0,0,0,0,0,0,0.015543105,0,0,0,0,0,0.018073378,0,0,0,0,0.015543105,0,0,0,0.03397795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022591722,0,0,0,0.009398157,0,0,0.04446051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024037593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007410085,0.019699982,0,0,0,0,0,0,0.015181637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047532984,0,0,0,0,0,0.086932948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079342129,0.015904573,0.025121995,0.012470631,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007952286,0,0,0,0,0
LK16S004-320,0,0,0,0.504455761,0.004774029,0,0.009548059,0,0,0,0,0,0,0,0.014640356,0,0,0,0,0.024824952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013367282,0,0,0,0,0,0,0,0,0,0.010821133,0,0,0,0,0,0,0.02991725,0,0,0,0.062698918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007956715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004455761,0,0,0.026416295,0,0,0.004137492,0,0,0,0,0,0,0,0,0,0,0,0.017823043,0,0,0,0,0,0,0,0,0,0,0.025779758,0,0,0,0,0,0.110439211,0,0.013685551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0162317,0.034054742,0.058243157,0.005728835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK16S004-321,0,0,0,0.469834087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093137255,0,0,0,0,0,0,0,0,0.032051282,0,0,0,0,0,0,0.002262443,0,0,0,0,0,0,0.011689291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052413273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002262443,0,0,0,0,0,0.166289593,0,0,0,0,0,0,0.051659125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014705882,0,0,0.07918552,0,0,0,0.024509804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK16S004-322,0,0,0,0.085377171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016041363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011268726,0,0,0,0,0,0,0,0,0.008219541,0,0,0,0,0,0,0,0,0,0,0,0.007026382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236775819,0,0.006363516,0,0,0,0,0.012992178,0,0,0,0,0,0,0,0,0,0.013920191,0,0,0,0,0,0,0,0,0.002784038,0,0,0,0,0.009942994,0,0,0.057669362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.508550974,0.001325732,0.016969376,0.004772637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK16S004-323,0,0,0.028571429,0.364069264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01991342,0,0,0,0,0,0,0,0,0,0,0,0.045021645,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011255411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029004329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024675325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015151515,0,0,0,0,0,0.122077922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018181818,0,0,0,0,0.043722944,0.187878788,0,0.001298701,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089177489,0,0,0,0,0
LK16S004-324,0,0,0,0.602197802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03956044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092307692,0,0,0,0,0,0,0.206593407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050549451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008791209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK16S004-325,0,0,0,0.283315845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057712487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073452256,0,0,0.015739769,0.062959077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023084995,0,0,0,0,0,0,0,0,0,0.070304302,0,0,0,0.022035677,0,0,0,0,0,0,0,0,0,0,0,0,0.059811123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048268625,0,0,0,0,0,0.181532004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024134313,0,0,0,0,0,0,0,0,0.077649528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK16S004-326,0,0,0,0.402351404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208360549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006531679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054212933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071195297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110385369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068582626,0.012410189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065969954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
