SampleID,Acinetobacter,Actinobacillus,Actinomyces,Adlercreutzia,Aerococcus,Afipia,Agrobacterium,Anaerococcus,Anoxybacillus,Aquabacterium,Arthrobacter,Bacillus,Bacteroides,Bifidobacterium,Brachybacterium,Brevibacillus,Brevibacterium,Brevundimonas,Burkholderia,Caulobacter,Cloacibacterium,Coprococcus,Corynebacterium,Deinococcus,Delftia,Enhydrobacter,Enterobacter,Enterococcus,Flavobacterium,Fusobacterium,Gardnerella,Gemella,Haemophilus,Herbaspirillum,Hymenobacter,Hyphomicrobium,Janthinobacterium,Jeotgalicoccus,Kocuria,Kytococcus,Lactobacillus,Lactococcus,Leuconostoc,Macrococcus,Massilia,Microbacterium,Micrococcus,Mucispirillum,Neisseria,Oscillospira,Paracoccus,Peptoniphilus,Porphyromonas,Prevotella,Pseudomonas,Psychrobacter,Rhodococcus,Rothia,Ruminococcus,Sediminibacterium,Sphingobacterium,Staphylococcus,Stenotrophomonas,Streptococcus,Streptomyces,Turicibacter,Veillonella,Weissella,Cutibacterium
LK16S009-230,0.138359202,0.191574279,0,0,0.063414634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016851441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150332594,0,0,0,0,0,0,0,0,0.384922395,0.048337029,0,0,0,0.006208426
LK16S009-231,0.158436214,0,0,0,0,0.150205761,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061728395,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0781893,0,0,0.041152263,0,0,0,0,0,0,0,0,0,0.043209877,0,0,0,0.014403292,0,0,0,0.215020576,0.019547325,0,0,0,0,0,0.04218107,0,0.135802469,0.040123457,0,0,0,0
LK16S009-232,0.466357309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086620263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051044084,0,0,0,0,0,0,0.046403712,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156225831,0,0,0,0,0,0,0.088167053,0,0,0.026295437,0,0,0,0.078886311
LK16S009-233,0.113992646,0,0.024579059,0.0226437,0,0,0.017998839,0,0,0,0,0.065221599,0,0,0,0,0.003096574,0.046835688,0,0,0,0,0.102380492,0,0,0.026707954,0.030578672,0,0.045674473,0,0,0,0.015482872,0.008709116,0,0,0,0,0,0,0,0,0,0.019160054,0.027675634,0.040449003,0.059996129,0.02361138,0.012386298,0.099670989,0,0,0,0.007934972,0.039481324,0,0.005612541,0.011031546,0.010644475,0,0,0.026127347,0,0.021482485,0.014515193,0,0,0.012386298,0.04393265
LK16S009-234,0.278966132,0,0,0,0,0,0,0,0,0,0,0,0.098484848,0,0,0,0,0,0,0,0,0.029411765,0.004901961,0.008467023,0,0.017825312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012477718,0.02540107,0.027629234,0,0,0,0.015597148,0,0,0.034759358,0,0,0.020499109,0.092691622,0.113190731,0,0,0,0,0,0,0.045008913,0,0,0.035650624,0.13057041,0,0.008467023,0
LK16S009-235,0.238147338,0.229029905,0,0,0,0,0,0,0,0,0,0.047045952,0,0,0,0,0,0,0,0,0,0,0.035740336,0,0,0,0,0.058351568,0,0,0,0,0,0.010940919,0,0.020787746,0,0,0,0,0,0,0,0,0,0,0.056528082,0,0,0,0,0,0.004741065,0,0.137126185,0,0,0,0,0,0,0.096644785,0,0.004741065,0.044128373,0,0,0,0.016046681
LK16S009-236,0.273907399,0.043271311,0,0,0,0,0,0,0,0,0,0,0,0,0.062743401,0,0,0,0,0,0,0,0.030722631,0,0,0.0263955,0,0,0,0,0,0,0,0.093033319,0,0,0,0,0,0,0,0,0,0,0,0.062310688,0,0,0,0,0,0,0,0,0.276503678,0,0,0,0,0,0,0,0,0.053656426,0.041107746,0,0,0,0.036347901
LK16S009-237,0.345125463,0,0,0.009049774,0,0,0,0,0,0,0,0.028383381,0,0,0,0,0,0,0.023858494,0,0,0,0.024681201,0,0,0,0,0,0,0,0,0,0,0.014397367,0,0,0,0,0,0,0.110654052,0,0,0,0,0.043192102,0,0,0,0,0,0,0,0,0.099958865,0,0.027560675,0,0,0,0,0,0,0.266145619,0,0,0,0,0.006993007
LK16S009-238,0.059375,0,0,0,0,0.396875,0.078125,0,0,0,0,0,0.071875,0,0,0,0,0,0.0828125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115625,0,0,0,0,0,0,0.0234375,0,0.171875,0,0,0,0,0
LK16S009-239,0.243635438,0.032077393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002545825,0,0.006619145,0,0,0.151476578,0,0,0,0,0,0,0,0,0,0,0.076120163,0,0,0,0,0,0.020112016,0,0,0,0,0,0,0,0,0,0.002545825,0.076374745,0,0,0,0.339867617,0,0,0,0,0,0,0,0,0,0.017057026,0,0,0,0.031568228
