SampleID,Abiotrophia,Achromobacter,Acidaminococcus,Acidovorax,Acinetobacter,Actinobacillus,Actinomyces,Actinoplanes,Adlercreutzia,Aerococcus,AF12,Afipia,Aggregatibacter,Agrobacterium,Agromyces,Alcanivorax,Alistipes,Alkanindiges,Allobaculum,Alloiococcus,Amaricoccus,Aminobacter,Anaerobacillus,Anaerococcus,Anaeroplasma,Anaerostipes,Anoxybacillus,Arcobacter,Arthrobacter,Asticcacaulis,Azospirillum,Bacillus,Bacteroides,Balneimonas,Bdellovibrio,Bifidobacterium,Bilophila,Blastomonas,Bradyrhizobium,Brevibacillus,Brevibacterium,Brevundimonas,Brochothrix,Burkholderia,Butyricicoccus,Caldilinea,Candidatus Arthromitus,Candidatus Nitrososphaera,Capnocytophaga,Carnobacterium,Caulobacter,Cellvibrio,Citricoccus,Cloacibacterium,Clostridium,Cohnella,Collinsella,Comamonas,Coprococcus,Corynebacterium,Cryocola,Cupriavidus,Cytophaga,DA101,Dechloromonas,Dehalobacterium,Dermabacter,Dermacoccus,Dialister,Dietzia,Dorea,Eggerthella,Elizabethkingia,Enhydrobacter,Enterobacter,Enterococcus,Erysipelothrix,Exiguobacterium,Faecalibacterium,Finegoldia,Flavisolibacter,Flavobacterium,Fusobacterium,Gardnerella,Gemella,Georgenia,Gluconobacter,Gordonia,Granulicatella,Haemophilus,Halomonas,Herbaspirillum,Hyphomicrobium,Janthinobacterium,Jeotgalicoccus,Kineococcus,Kocuria,Laceyella,Lachnoanaerobaculum,Lactobacillus,Lactococcus,Lampropedia,Leptotrichia,Leucobacter,Leuconostoc,Luteimonas,Marinomonas,Massilia,Megamonas,Megasphaera,Mesorhizobium,Methanobrevibacter,Microbacterium,Micrococcus,Microlunatus,Moraxella,Morganella,Mucispirillum,Mycobacterium,Mycoplana,N09,Neisseria,Nesterenkonia,Nocardioides,Nocardiopsis,Novosphingobium,Ochrobactrum,Odoribacter,Oryzihumus,Oscillospira,Paenibacillus,Parabacteroides,Paracoccus,Pasteurella,Pedobacter,Peptoniphilus,Perlucidibaca,Petrobacter,Phenylobacterium,Phyllobacterium,Planctomyces,Planifilum,Planomicrobium,Porphyromonas,Prevotella,Propionibacterium,Pseudochrobactrum,Pseudomonas,Pseudonocardia,Pseudoxanthomonas,Psychrobacter,Rheinheimera,Rhizobium,Rhodococcus,Rhodopila,Rhodoplanes,Roseburia,Roseomonas,Rothia,Rubellimicrobium,Rubrobacter,Ruminobacter,Ruminococcus,Saccharopolyspora,Salinicoccus,SargSea-WGS,Sediminibacterium,Serinicoccus,Shewanella,Sphingobacterium,Sphingobium,Sphingopyxis,Spirosoma,Sporosarcina,Staphylococcus,Stenotrophomonas,Steroidobacter,Streptococcus,Streptomyces,Sulfurospirillum,Sutterella,Thermicanus,Thermomonas,Turicibacter,Veillonella,Vibrio,WAL_1855D,Xanthobacter,Xanthomonas,Xylella,Yaniella
LK16S004-022,0,0,0,0,0.22235023,0,0.003456221,0,0,0,0,0,0,0,0,0,0,0,0,0.021889401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014976959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004608295,0.101382488,0.017281106,0,0,0,0,0,0,0,0,0,0,0,0,0.025345622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004608295,0,0,0,0,0,0.031105991,0,0,0,0,0,0,0,0.016129032,0.048387097,0,0.035714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008064516,0,0,0,0,0,0,0,0,0,0,0,0.055299539,0,0,0.057603687,0.314516129,0,0,0,0,0,0.008064516,0,0.00921659,0,0,0,0
LK16S004-023,0,0,0,0,0.087719298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122807018,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070175439,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035087719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087719298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140350877,0.456140351,0,0,0,0,0,0,0,0,0,0,0,0
LK16S004-030,0,0,0,0,0.388007055,0,0.019400353,0,0,0.044091711,0,0,0,0,0,0,0,0,0,0,0,0.035273369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021164021,0,0,0,0,0,0,0,0.042328042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015873016,0.008818342,0,0,0,0,0,0,0,0,0.098765432,0.008818342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029982363,0,0.086419753,0,0,0,0.014109347,0,0,0,0,0,0,0,0,0.028218695,0,0,0,0,0,0,0,0,0.010582011,0,0,0,0,0.014109347,0.044091711,0,0,0.015873016,0,0,0,0,0,0,0,0,0,0,0.074074074,0
LK16S004-031,0,0,0,0,0.295918367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017006803,0,0,0,0,0,0,0,0,0,0,0.010204082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108843537,0,0,0,0,0,0,0,0.414965986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020408163,0,0,0.017006803,0,0,0.047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0,0,0,0,0,0.044217687,0,0,0,0,0,0,0,0,0,0,0,0
LK16S004-032,0,0,0,0,0.333846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036923077,0.047692308,0,0,0,0,0,0,0,0.016923077,0,0,0,0.021538462,0,0,0,0,0,0,0,0,0,0,0,0.158461538,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015384615,0,0,0.007692308,0,0,0.010769231,0,0,0,0,0,0,0,0,0,0,0,0.024615385,0,0,0,0,0,0,0,0,0.009230769,0,0,0,0,0,0,0,0,0,0.026153846,0,0,0,0,0,0,0,0,0.024615385,0,0,0,0.013846154,0.029230769,0,0,0,0.004615385,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0
LK16S004-052,0,0,0,0,0.645101664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012939002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011090573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036968577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051756007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011090573,0,0,0,0.125693161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066543438,0,0,0,0,0.038817006,0,0,0,0,0,0,0,0,0,0,0,0
LK16S004-053,0,0,0,0,0.061016949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006779661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013559322,0,0,0,0,0,0,0,0,0,0,0,0,0.108474576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101694915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66779661,0,0,0,0.030508475,0,0,0,0,0,0.010169492,0,0,0,0,0,0
LK16S004-054,0,0,0,0,0.485835694,0,0,0,0.008498584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016997167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082152975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011331445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042492918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043909348,0,0,0,0.077903683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041076487,0,0,0,0,0,0,0,0,0,0,0,0.032577904,0.157223796,0,0,0,0,0,0,0,0,0,0,0,0
LK16S004-055,0,0,0,0,0.001018278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000101828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998778066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000101828,0,0,0,0,0,0,0,0,0,0,0,0
LK16S004-056,0,0.0042123,0,0,0.319292334,0,0,0,0,0,0,0,0,0,0,0,0,0.01179444,0,0,0.0210615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068239259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0210615,0.038753159,0,0,0,0,0,0,0,0,0,0,0,0,0.02316765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0042123,0,0.00252738,0,0.049705139,0,0,0,0,0,0,0,0,0,0,0,0.01095198,0,0,0,0,0,0,0,0,0,0,0,0.00505476,0,0,0.339932603,0.00379107,0,0.01010952,0.066133109,0,0,0,0,0,0,0,0,0,0,0,0
